Dataset,Camera,Category,Author,Organisation/Project,Source,Dataset link,Images,Size in GB (est.),Ground Truth,License,License link,SampleImage,Image Format,DOI,Masks,Description
Molossian Hound/ Jennings Dog,,,Daniel Pett  British Museum,,https://github.com/BritishMuseumDH/molossianHound,https://github.com/BritishMuseumDH/molossianHound/tree/master/images,,,,Creative Commons By Attribution Share-Alike Non-Commercial license ,,,,,Masks,"This repository contains the files and images to create a 3D rendering of the Jennings Dog. A marble statue of a seated Molossian dog with a docked tail; a Roman copy of a Hellenistic bronze original, muzzle and one leg repaired. Also known as the Duncombe Dog and the Dog of Alcibiades. 2nd Century AD, found in Rome."
Greek head ,,,Daniel Pett  British Museum,,https://github.com/BritishMuseumDH/greekHead,https://github.com/BritishMuseumDH/greekHead/tree/master/images,,,,Creative Commons By Attribution Share-Alike Non-Commercial license ,,,,,Masks,
Mictlantecuhli ,,,Daniel Pett  British Museum,,https://github.com/BritishMuseumDH/mictlantecuhli,https://github.com/BritishMuseumDH/mictlantecuhli/tree/master/images,,,,CC BY-NC-SA ,,,,10.5281/zenodo.167774 ,Masks,"Sandstone seated figure of Mictlantecuhtli, the Aztec god of death. The figure bears three glyphs on its back: ‘Two Skull’, ‘Five Vulture’ and ‘Four House’. Height 60.00cm, Width 27.00cm Created by Daniel Pett from 177 photos taken with a OnePlus3 in gallery lit conditions (dark). Several spot lights are focused on this object from different directions. Hence interesting shadows in mode "
Cippus ,,,Daniel Pett  British Museum,,https://github.com/BritishMuseumDH/cippus,https://github.com/BritishMuseumDH/cippus/tree/master/images,,,,CC BY-NC-SA ,,,,10.5281/zenodo.166698 ,Masks,Black steatite cippus; standards on either side of Harpocrates; eight registers of Gods and text in the field; other surfaces covered with rows of Hieroglyphic text; two fragments re-joined.
prudhoeLionLeft ,,,Daniel Pett  British Museum,,https://github.com/BritishMuseumDH/prudhoeLionLeft,https://github.com/BritishMuseumDH/prudhoeLionLeft/tree/master/images,,,,Attribution-NonCommercial-ShareAlike 4.0 International,https://github.com/BritishMuseumDH/prudhoeLionLeft/blob/master/LICENSE.md,,,,,
Isis and Horus ,,,Daniel Pett  British Museum,,https://github.com/BritishMuseumDH/isisHorusAL,https://github.com/BritishMuseumDH/isisHorusAL/tree/master/images,,,,,,,,,Masks,
egyptianStanding ,,,Daniel Pett  British Museum,,https://github.com/BritishMuseumDH/egyptianStanding,https://github.com/BritishMuseumDH/egyptianStanding/tree/master/images,,,,?,,,,,,
Ain Sakhri lovers ,,,Daniel Pett  British Museum,,https://github.com/BritishMuseumDH/ainSakhriLoversV1,https://github.com/BritishMuseumDH/ainSakhriLoversV1/tree/master/images,,,,CC BY-NC-SA ,https://github.com/BritishMuseumDH/ainSakhriLoversV1/blob/master/LICENSE.md,,,10.5281/zenodo.321613 ,Masks,
Ain Sakhri full ,,,Daniel Pett  British Museum,,https://github.com/BritishMuseumDH/ainSakhriLoversV2,https://github.com/BritishMuseumDH/ainSakhriLoversV2/tree/master/images,,,,CC-BY-NC-SA ,,,,,no,ainSakhriLoversV2 
Virgin and Child medieval alabaster ,OnePlus 3 ,,"Daniel Pett and Lloyd de Beer, British Museum",,https://github.com/BritishMuseumDH/virginAndChild,https://github.com/BritishMuseumDH/virginAndChild/tree/master/images,384,,,CC-BY-NC-SA ,,,,10.5281/zenodo.200337 ,Masks,"A partially polychromed alabaster representation of the Virgin and Child from England (probably Midlands), about 1350-75. Redemptorist Monastery, Saint Truiden, Limburg, Belgium. "
Townley Well-head ,Nikon D5100 ,,Daniel Pett  British Museum,,https://github.com/BritishMuseumDH/townleyRomanWellhead,https://github.com/BritishMuseumDH/townleyRomanWellhead/tree/master/images,,,,CC-BY-NC-SA ,,,,,Masks,"Pentelic marble well-head (puteal) decorated with four scenes of erotic pursuit: Hercules in female dress seizing Omphale, flanked on the left by a vase and on the right by a flying Cupid holding a sceptre; a female figure struggling with a male, thought to resemble Hercules; a female figure seized by a young satyr carrying a wineskin; and a young Hermaphrodite attempting to escape from a bearded satyr, who is seated on a rock under a palm tree."
Lancaster Cross ,Sony A6000 ,,Daniel Pett  British Museum,,https://github.com/BritishMuseumDH/lancasterCrossG41,https://github.com/BritishMuseumDH/lancasterCrossG41/tree/master/images,248,,,,https://github.com/BritishMuseumDH/lancasterCrossG41/blob/master/LICENSE.md,,,,Masks,
gudea ,,,Daniel Pett  British Museum,,https://github.com/BritishMuseumDH/gudea,,,,,CC-BY-NC-SA ,https://github.com/BritishMuseumDH/gudea/blob/master/LICENSE.md,,,,Masks,Upper part of standing figure with head; carved and polished mottled green dolerite; but neck restored. Gudea was the ruler of the city-state of Lagash.
Caracalla,Nikon D5100 ,,Daniel Pett  British Museum,,https://github.com/BritishMuseumDH/caracalla,https://github.com/BritishMuseumDH/caracalla/tree/master/images,144,,,CC-BY-NC-SA ,https://github.com/BritishMuseumDH/caracalla/blob/master/LICENSE.md,,,,Masks,A bust of the Emperor Caracalla
Livia   ,Canon DSLR ,,Daniel Pett  British Museum,,https://github.com/BritishMuseumDH/livia,https://github.com/BritishMuseumDH/livia/tree/master/images,,,,CC-BY-NC-SA ,https://github.com/BritishMuseumDH/livia/blob/master/LICENSE.md,,,,Masks,A scan of a marble head of Livia.
Jericho Skull ,Nikon D5100/ OnePlus3 ,,Daniel Pett  British Museum,,https://github.com/BritishMuseumDH/jerichoSkull,,138,,,CC BY-NC-SA ,,,,,Masks,"A plastered human skull; the skull was taken as the base and the features of the face were modelled on it in plaster. One eye is made from a bivalve shell divided in two. The other has one, smaller, complete shell in place and is missing its twin."
Antinous ,Nikon D5100 ,,Daniel Pett  British Museum,,https://github.com/BritishMuseumDH/antinous,https://github.com/BritishMuseumDH/antinous/tree/master/images,250,,,CC BY-NC-SA ,https://github.com/BritishMuseumDH/antinous/blob/master/LICENSE.md,,,,Masks,Marble portrait head from a statue of Antinous (as Dionysus?) wearing a wreath of ivy. The bust is modern. Height 81.00cm
Germanicus ,,,Daniel Pett  British Museum,,https://github.com/BritishMuseumDH/germanicus,https://github.com/BritishMuseumDH/germanicus/tree/master/images,,,,CC BY-NC-SA ,https://github.com/BritishMuseumDH/germanicus/blob/master/LICENSE.md,,,10.5281/zenodo.847776 ,Masks,
Claudia Olympias ,Nikon D5100 ,,Daniel Pett  British Museum,,https://github.com/BritishMuseumDH/claudiaOlympias,https://github.com/BritishMuseumDH/claudiaOlympias/tree/master/images,138,,,CC BY-NC-SA ,https://github.com/BritishMuseumDH/claudiaOlympias/blob/master/LICENSE.md,,,10.5281/zenodo.321617 ,Masks,
Akkadian brick stamp ,Google Pixel ,,"Tess Sanders, Jennifer Wexler and Terhi Nurmikko-Fuller, British Museum",,https://github.com/BritishMuseumDH/brickstamp,https://github.com/BritishMuseumDH/brickstamp/tree/master/images,88,,,CC-BY-NC-SA ,https://github.com/BritishMuseumDH/brickstamp/blob/master/LICENSE.md,,,10.5281/zenodo.847778 ,Masks,Pottery stamp for bricks; restored; with modern impression; inscribed; 3 ll.
Sheffield Cross ,Sony A6000 ,,"Mary Chester-Kadwell, Daniel Pett, British Museum",,https://github.com/BritishMuseumDH/sheffieldCrossG41,https://github.com/BritishMuseumDH/sheffieldCrossG41/tree/master/images,90,,,CC-BY-NC-SA ,https://github.com/BritishMuseumDH/sheffieldCrossG41/blob/master/LICENSE.md,,,10.5281/zenodo.847782 ,Masks,The Sheffield Cross Shaft is a sandstone Anglo-Saxon cross-shaft dating to the early ninth century AD. The back of the cross-shaft has been hollowed out at a later period.
Cypriot priest ,Nikon D5100 ,,"Daniel Pett, British Museum",,https://github.com/BritishMuseumDH/colossalPriest,https://github.com/BritishMuseumDH/colossalPriest/tree/master/images,213,,,CC-BY-NC-SA ,https://github.com/BritishMuseumDH/colossalPriest/blob/master/LICENSE.md,,,10.5281/zenodo.321539 ,Masks,"Upper part of a colossal limestone statue of a bearded man, a worshipper or possibly a priest. The complete statue, at least 2m tall, depicted a standing figure in a frontal pose; he wears pleated tunic (chiton) and over the left shoulder a cloak (himation) with a zig-zag fold on the border "
Kouros head,Nikon D5100 ,,"Daniel Pett, British Museum",,https://github.com/BritishMuseumDH/kourosHead,https://github.com/BritishMuseumDH/kourosHead/tree/master/images,,,,CC-BY-NC-SA ,https://github.com/BritishMuseumDH/kourosHead/blob/master/LICENSE.md,,,10.5281/zenodo.166543 ,Masks,The model was created by simply walking around the object and taking pictures with a Nikon D5100.
Alcester terminal ,,,"Daniel Pett, British Museum",,https://github.com/BritishMuseumDH/alcesterTerminal,https://github.com/BritishMuseumDH/alcesterTerminal/tree/master/images,,,,CC-BY-NC-SA ,https://github.com/BritishMuseumDH/alcesterTerminal/blob/master/LICENSE.md,,,10.5281/zenodo.883044 ,Masks,
table of Nesptah ,,,"Daniel Pett, British Museum",,https://github.com/BritishMuseumDH/tableOfNesptah,https://github.com/BritishMuseumDH/tableOfNesptah/tree/master/images,,,,CC BY-NC-SA,https://github.com/BritishMuseumDH/tableOfNesptah/blob/master/LICENSE.md,,,10.5281/zenodo.883108 ,Masks,Granodiorite offering-table of Nesptah; Hieroglyphic text. 26th Dynasty Egypt.
Hadrian   ,,,"Daniel Pett, British Museum",,https://github.com/BritishMuseumDH/hadrian,https://github.com/BritishMuseumDH/hadrian/tree/master/images,,,,CC-BY-NC-SA ,https://github.com/BritishMuseumDH/hadrian/blob/master/LICENSE.md,,,10.5281/zenodo.883098 ,Masks,
Denieunkhonsu AncientLives ,,,"Daniel Pett, British Museum",,https://github.com/BritishMuseumDH/stelaDeniuenkhonsu,https://github.com/BritishMuseumDH/stelaDeniuenkhonsu/tree/master/images,,,,CC-BY-NC-SA ,https://github.com/BritishMuseumDH/stelaDeniuenkhonsu/blob/master/LICENSE.md,,,10.5281/zenodo.883112 ,Masks,"Wooden funerary stela of Deniuenkhons: Deniuenkhons wears a long, full wig embellished with a floral fillet, a perfume cone, and lotuses"
Cuneiform tablet: k.4330,Nikon D5100 ,,"Terhi Nurmikko-Fuller (ANU), Daniel Pett, British Museum",,https://github.com/BritishMuseumDH/cuneiformK4330,https://github.com/BritishMuseumDH/cuneiformK4330/tree/master/images,146,,,CC-BY-NC-SA ,https://github.com/BritishMuseumDH/cuneiformK4330/blob/master/LICENSE.md,,,,Masks,"Library of Ashurbanipal: Fragment of a clay tablet, trilingual list, 34 + 29 + 22 lines of inscription. Neo-Assyrian."
Egyptian Sarcophagus ,,,"Daniel Pett, British Museum",,https://github.com/BritishMuseumDH/sarcophagusBathtub,https://github.com/BritishMuseumDH/sarcophagusBathtub/tree/master/images,,,,CC-BY-NC-SA ,https://github.com/BritishMuseumDH/sarcophagusBathtub/blob/master/LICENSE.md,,,,Masks,
Amaravati double sided panel ,,,"Daniel Pett, British Museum",,https://github.com/BritishMuseumDH/amaravatiPanel,https://github.com/BritishMuseumDH/amaravatiPanel/tree/master/images,,,,CC-BY-NC-SA ,https://github.com/BritishMuseumDH/amaravatiPanel/blob/master/LICENSE.md,,,10.5281/zenodo.840851 ,Masks,"Back: Relief of the Bodhi tree and an empty dias with Buddhapada on the step, flying celestials above and kneeling worshippers on each side. Front: Relief depicting a stūpa with a figure of the Buddha standing at the entrance; about the dome of the stūpa flying celestials, some playing instruments. On the dome are relief panels depicting the Gift of Sujātā, the Conversion of Nanda, the First Sermon, the Great Departure, the Birth of the Buddha and Māyā’s Dream. Height: 124.37 centimetres Width: 86.25 centimetres Thickness: 12.5 centimetres 1st Century BC (obverse face) 3rd Century (reverse face)"
limestone capital ,,,"Daniel Pett, British Museum",,https://github.com/BritishMuseumDH/architecturalElement,https://github.com/BritishMuseumDH/architecturalElement/tree/master/images,,,,CC-BY-NC-SA ,https://github.com/BritishMuseumDH/architecturalElement/blob/master/LICENSE.md,,,10.5281/zenodo.885542 ,Masks,"Experimental scan, object in very close proximity to corner of a gallery wall (inches). Will try to improve this with a different camera. Limestone capital from a column, perhaps part of a funeral or votive stele; narrow circular base decorated with mouldings (a flat fillet separating two rounded mouldings above and below, separated by a carinated band: the upper fillet has an incised zig-zag); the stele splays outwards as it rises: two rows of superimposed acanthus leaves, the outer row has rounded tips, the inner row with angular tips; the stele is topped with another set of mouldings, repeating the round and flat patter as on the base; socket in the lower end presumably for attachment to a pillar; traces of red and black paint revealed during cleaning. Height: 54 centimetres Diameter: 29 centimetres (abacus)"
bust of Vespasian ,,,"Daniel Pett, British Museum",,https://github.com/BritishMuseumDH/vespasian,https://github.com/BritishMuseumDH/vespasian/tree/master/images,,,,CC-BY-NC-SA ,https://github.com/BritishMuseumDH/vespasian/blob/master/LICENSE.md,,,10.5281/zenodo.888837 ,Masks,"Head from an over-life-sized marble statue of the emperor Vespasian, perhaps re-carved from a portrait of Nero. The nose is missing."
Mold Gold Cape ,,,"Daniel Pett, British Museum",,https://github.com/BritishMuseumDH/moldGoldCape,https://github.com/BritishMuseumDH/moldGoldCape/tree/master/images,,,,CC-BY-NC-SA ,https://github.com/BritishMuseumDH/moldGoldCape/blob/master/LICENSE.md,,,10.5281/zenodo.344914 ,Masks,"A low resolution, first iteration of modeling the famous Mold Gold Cape. This is very rough internally and around the top edges. It will improve as more effective masking is done and some more photos are added. The cape is too fragile to remove from the internal supporting structure."
statue of Perikles ,Nikon D5100 ,,"Daniel Pett, British Museum",,https://github.com/BritishMuseumDH/perikles,https://github.com/BritishMuseumDH/perikles/tree/master/images,,,,reative Commons By Attribution Share-Alike Non-Commercial license ,https://github.com/BritishMuseumDH/perikles/blob/master/LICENSE.md,,,10.5281/zenodo.164861 ,No,The model was created by simply walking around the object and taking pictures with a Nikon D5100.
Amaravati Maya relief ,,,"Daniel Pett, British Museum",,https://github.com/BritishMuseumDH/amaravatiMayaRelief,https://github.com/BritishMuseumDH/amaravatiMayaRelief/tree/master/images,,,,CC-BY-NC-SA ,https://github.com/BritishMuseumDH/amaravatiMayaRelief/blob/master/LICENSE.md,,,,Masks,A drum slab carved in limestone with the four events related to the Buddha's birth: Māyādevī's Dream (top right); the Interpretation of the Dream attended by the dīkpāla-s (top left); the Birth of the Buddha attended again by the dīkpāla-s (bottom right); the Presentation of the Buddha to the caitya of the Śākyas (bottom left).
Amaravati Guardian Lion ,Sony A6000 ,,"Daniel Pett, British Museum",,https://github.com/BritishMuseumDH/amaravatiGuardianLion,https://github.com/BritishMuseumDH/amaravatiGuardianLion/tree/master/images,297,,,CC-BY-NC-SA ,https://github.com/BritishMuseumDH/amaravatiGuardianLion/blob/master/LICENSE.md,,,,,"A guardian lion carved in limestone (‘Palnad marble’), mounted originally seated upright on the vedika railing at the one of the entrances to the pradakshinapatha. 2nd century BC."
sekhmetEA60,,,"Daniel Pett, British Museum",,https://github.com/BritishMuseumDH/sekhmetEA60,https://github.com/BritishMuseumDH/sekhmetEA60/tree/master/images,,,,CC-BY-NC-SA ,https://github.com/BritishMuseumDH/sekhmetEA60/blob/master/LICENSE.md,,,10.5281/zenodo.1160578 ,Masks,
apothesisHomer,,,"Daniel Pett, British Museum",,https://github.com/BritishMuseumDH/apothesisHomer,https://github.com/BritishMuseumDH/apothesisHomer/tree/master/images,,,,CC-BY-NC-SA ,https://github.com/BritishMuseumDH/apothesisHomer/blob/master/LICENSE.md,,,,Masks,
bronzeAgeBracelets,,,Daniel Pett,,https://github.com/MicroPasts/bronzeAgeBracelets,https://github.com/MicroPasts/bronzeAgeBracelets,,,,?,,,,,Masks,
socketed-axe-version2,,,Daniel Pett and others,,https://github.com/MicroPasts/socketed-axe-version2,https://github.com/MicroPasts/socketed-axe-version2/tree/master/photos,,,,CC-BY ,,,,,Masks,
basaltFigure,,,Daniel Pett,,https://github.com/FitzwilliamMuseum/basaltFigure,https://github.com/FitzwilliamMuseum/basaltFigure/tree/master/images,,,,?,,,,,Masks,
Alexander the Great ,Sony A6000 ,,Daniel Pett,,https://github.com/FitzwilliamMuseum/alexanderTheGreat,https://github.com/FitzwilliamMuseum/alexanderTheGreat/tree/master/images,,,,CC-BY-NC-SA ,https://github.com/FitzwilliamMuseum/alexanderTheGreat/blob/master/LICENSE.md,,,,,
Lancer in the Abu Dhabi Louvre ,Sony A6000 ,,Daniel Pett,,https://github.com/portableant/lancerAbuDhabiLouvre,https://github.com/portableant/lancerAbuDhabiLouvre/tree/master/Images,44,,,CC-BY-NC ,https://github.com/portableant/lancerAbuDhabiLouvre/blob/master/LICENSE.md,,"JPEG, RAW",,Masks,"A lancer from the archer’s frieze, from Darius’s palace at Susa. This frieze panel is made from glazed siliceous bricks and dates to the Achaemenid Empire circa 510 BC."
Seashell,Canon EOS 5D Mark IV ,,Etienne Danvoye edanvoye,,https://github.com/edanvoye/photogrammetry_example_seashell,https://github.com/edanvoye/photogrammetry_example_seashell/tree/master/jpg,,,,Creative Commons Attribution-NonCommercial 4.0 International License.,,,JPG,,No,
Rock scan ,,,,,https://github.com/mkbreuer/Misc-Share-Archiv/tree/master/testing,https://github.com/mkbreuer/Misc-Share-Archiv/tree/master/testing,50,,,Attribution-NonCommercial 4.0 International,https://github.com/mkbreuer/Misc-Share-Archiv,,,,,
Face Capture (male),Canon EOS 100D,,IR-Entertainment Ltd. Triplegangers,Triplegangers,https://www.triplegangers.com/blog/cat/news/post/free-scan-sample/,https://www.triplegangers.com/blog/cat/news/post/free-scan-sample/,22,"0,7",,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License,,,CR2,,,Professional Face Capture “Age44-GaryBarnes_Sample”
Gargoyle,,Demo,"Zhuoliang Kang, Meshrecon ",Meshrecon,http://zhuoliang.me/meshrecon.html,http://zhuoliang.me/meshrecon.html,23,"0,009",,?,,,,,,
Gnome ,,Demo,"Zhuoliang Kang, Meshrecon ",Meshrecon,http://zhuoliang.me/meshrecon.html,http://zhuoliang.me/meshrecon.html,27,"0,007",,?,,,,,,
Squirrel ,,Demo,"Zhuoliang Kang, Meshrecon ",Meshrecon,http://zhuoliang.me/meshrecon.html,http://zhuoliang.me/meshrecon.html,23,"0,007",,?,,,,,,
Woodland Squirrel ,,Demo,"Zhuoliang Kang, Meshrecon ",Meshrecon,http://zhuoliang.me/meshrecon.html,http://zhuoliang.me/meshrecon.html,20,"0,005",,?,,,,,,
Seville,,Building,"Kyle Wilson, Noah Snavely",Cornell,http://www.cs.cornell.edu/projects/disambig/,http://www.cs.cornell.edu/projects/disambig/,,"1,6",,?,,,,,,
Sacre Coer,,Building,"Kyle Wilson, Noah Snavely",Cornell,http://www.cs.cornell.edu/projects/disambig/,http://www.cs.cornell.edu/projects/disambig/,,"3,3",,?,,,,,,
Louvre,,Building,"Kyle Wilson, Noah Snavely",Cornell,http://www.cs.cornell.edu/projects/disambig/,http://www.cs.cornell.edu/projects/disambig/,,"3,5",,?,,,,,,
NotreDame,,Building,"Kyle Wilson, Noah Snavely",Cornell,http://www.cs.cornell.edu/projects/disambig/,http://www.cs.cornell.edu/projects/disambig/,,8,,?,,,,,,
arbre,,,,MicMac,https://micmac.ensg.eu/index.php/Accueil,https://micmac.ensg.eu/data/,,,,,,,,,,
chambord_tower_dataset,,,,MicMac,https://micmac.ensg.eu/index.php/Accueil,https://micmac.ensg.eu/data/,,,,,,,,,,
concrete_dataset,,,,MicMac,https://micmac.ensg.eu/index.php/Accueil,https://micmac.ensg.eu/data/,,,,,,,,,,
cuxa_dataset,,,,MicMac,https://micmac.ensg.eu/index.php/Accueil,https://micmac.ensg.eu/data/,,,,,,,,,,
demoscanned_dataset,,,,MicMac,https://micmac.ensg.eu/index.php/Accueil,https://micmac.ensg.eu/data/,,,,,,,,,,
guyla_earthquake_dataset,,,,MicMac,https://micmac.ensg.eu/index.php/Accueil,https://micmac.ensg.eu/data/,,,,,,,,,,
mars_dataset.zipmtblanc,,,,MicMac,https://micmac.ensg.eu/index.php/Accueil,https://micmac.ensg.eu/data/,,,,,,,,,,
mur_saint_martin_dataset,,,,MicMac,https://micmac.ensg.eu/index.php/Accueil,https://micmac.ensg.eu/data/,,,,,,,,,,
ramses_dataset.zipsaintcloud,,,,MicMac,https://micmac.ensg.eu/index.php/Accueil,https://micmac.ensg.eu/data/,,,,,,,,,,
saint_michel_de_cuxa_dataset,,,,MicMac,https://micmac.ensg.eu/index.php/Accueil,https://micmac.ensg.eu/data/,,,,,,,,,,
street_saint_martin_dataset,,,,MicMac,https://micmac.ensg.eu/index.php/Accueil,https://micmac.ensg.eu/data/,,,,,,,,,,
tortue_hue_dataset,,,,MicMac,https://micmac.ensg.eu/index.php/Accueil,https://micmac.ensg.eu/data/,,,,,,,,,,
viabon_dataset,,,,MicMac,https://micmac.ensg.eu/index.php/Accueil,https://micmac.ensg.eu/data/,,,,,,,,,,
vincennes_dataset,,,,MicMac,https://micmac.ensg.eu/index.php/Accueil,https://micmac.ensg.eu/data/,,,,,,,,,,
boudha_dataset-2,,,,MicMac,https://micmac.ensg.eu/index.php/Accueil,https://micmac.ensg.eu/data/,,,,,,,,,,
fontaine_dataset,,,,MicMac,https://micmac.ensg.eu/index.php/Accueil,https://micmac.ensg.eu/data/,,,,,,,,,,
gravillons_dataset,,,,MicMac,https://micmac.ensg.eu/index.php/Accueil,https://micmac.ensg.eu/data/,,,,,,,,,,
pierrerue_dataset,,,,MicMac,https://micmac.ensg.eu/index.php/Accueil,https://micmac.ensg.eu/data/,,,,,,,,,,
uas_grand_leez_dataset,,,,MicMac,https://micmac.ensg.eu/index.php/Accueil,https://micmac.ensg.eu/data/,,,,,,,,,,
zhenjue_dataset,,,,MicMac,https://micmac.ensg.eu/index.php/Accueil,https://micmac.ensg.eu/data/,,,,,,,,,,
Kermit Dataset ,,,Technische Universität Darmstadt ,MVE,https://www.gcc.tu-darmstadt.de/home/proj/mve/,,11,"0,006",,,,,,,,
Achteck-Turm ,,,Technische Universität Darmstadt ,MVE,https://www.gcc.tu-darmstadt.de/home/proj/mve/,,36,"0,083",,,,,,,,
Der Hass ,,,Technische Universität Darmstadt ,MVE,https://www.gcc.tu-darmstadt.de/home/proj/mve/,,79,"0,062",,,,,,,,
Citywall ,,,Technische Universität Darmstadt ,MVE,https://www.gcc.tu-darmstadt.de/home/proj/mve/,,564,"0,376",,,,,,,,
Reader Dataset ,,,Technische Universität Darmstadt ,MVE,https://www.gcc.tu-darmstadt.de/home/proj/mve/,,539,"1,3",,,,,,,,
